month,year,Erie
jan,1918,173.9
feb,1918,173.82
mar,1918,174.01
apr,1918,174.02
may,1918,173.98
jun,1918,174.1
jul,1918,174.12
aug,1918,174.09
sep,1918,174.09
oct,1918,174.02
nov,1918,174.02
dec,1918,174.01
jan,1919,174
feb,1919,174
mar,1919,174.11
apr,1919,174.25
may,1919,174.46
jun,1919,174.49
jul,1919,174.39
aug,1919,174.29
sep,1919,174.18
oct,1919,174.08
nov,1919,174.03
dec,1919,173.89
jan,1920,173.72
feb,1920,173.55
mar,1920,173.57
apr,1920,173.81
may,1920,174.04
jun,1920,174.09
jul,1920,174.13
aug,1920,174.13
sep,1920,174.06
oct,1920,173.96
nov,1920,173.91
dec,1920,173.93
jan,1921,173.92
feb,1921,173.88
mar,1921,173.97
apr,1921,174.15
may,1921,174.26
jun,1921,174.24
jul,1921,174.2
aug,1921,174.09
sep,1921,174
oct,1921,173.89
nov,1921,173.85
dec,1921,173.86
jan,1922,173.78
feb,1922,173.66
mar,1922,173.75
apr,1922,174.05
may,1922,174.17
jun,1922,174.2
jul,1922,174.16
aug,1922,174.08
sep,1922,174.02
oct,1922,173.88
nov,1922,173.74
dec,1922,173.64
jan,1923,173.66
feb,1923,173.56
mar,1923,173.64
apr,1923,173.78
may,1923,173.89
jun,1923,173.94
jul,1923,173.93
aug,1923,173.85
sep,1923,173.8
oct,1923,173.69
nov,1923,173.62
dec,1923,173.73
jan,1924,173.76
feb,1924,173.72
mar,1924,173.68
apr,1924,173.84
may,1924,173.99
jun,1924,174.04
jul,1924,174.08
aug,1924,174
sep,1924,173.91
oct,1924,173.84
nov,1924,173.66
dec,1924,173.6
jan,1925,173.51
feb,1925,173.48
mar,1925,173.63
apr,1925,173.73
may,1925,173.71
jun,1925,173.69
jul,1925,173.66
aug,1925,173.66
sep,1925,173.61
oct,1925,173.49
nov,1925,173.48
dec,1925,173.47
jan,1926,173.37
feb,1926,173.32
mar,1926,173.34
apr,1926,173.61
may,1926,173.7
