"site_info","Treatment","Year","Turnover","Nestedness","Sum"
"Control_2016","Control","2016",0.756048387096774,0.159923835125448,0.915972222222222
"Treatment_2016","Treatment","2016",0.471544715447154,0.326591930515578,0.798136645962733
"Control_2017","Control","2017",0.772819472616633,0.140020994309437,0.91284046692607
"Treatment_2017","Treatment","2017",0.760869565217391,0.110475464022375,0.871345029239766
"Control_2018","Control","2018",0.72972972972973,0.172920351395203,0.902650081124932
"Treatment_2018","Treatment","2018",0.864716636197441,0.0695640032341758,0.934280639431616
"Control_2019","Control","2019",0.834992887624467,0.0611110084794295,0.896103896103896
"Treatment_2019","Treatment","2019",0.899937849596022,0.0349327005657899,0.934870550161812
"Control_2020","Control","2020",0.822898032200358,0.0770514372286468,0.899949469429005
"Treatment_2020","Treatment","2020",0.927744326076887,0.0212085535042644,0.948952879581152
"Treatment_2021","Treatment","2021",0.921108742004264,0.0250632892741499,0.946172031278414
