"site_code","site_id","sample_year","location","treatment","shannon","pielou","richness","abundance"
"LPC2116","LPC21",2016,"Long Point","Control",0.228547564262885,0.208032958142096,3,85.007496251
"LPC2216","LPC22",2016,"Long Point","Control",0.470686310646272,0.428437143386502,3,85.007496252
"LPC2316","LPC23",2016,"Long Point","Control",0.00523302390399619,0.0075496576351487,2,80.009995002
"LPC2416","LPC24",2016,"Long Point","Control",0,NA,1,80
"LPC2516","LPC25",2016,"Long Point","Control",0.929905196918618,0.577782584674072,5,90.0049975
"LPC2616","LPC26",2016,"Long Point","Control",0.871798795740025,0.628869899633552,4,89.96003997
"LPC2716","LPC27",2016,"Long Point","Control",0.661563238157982,0.954434002924965,2,80
"LPC2816","LPC28",2016,"Long Point","Control",0,NA,1,70
"LPC2916","LPC29",2016,"Long Point","Control",0,NA,1,89.95502249
"LPC3016","LPC30",2016,"Long Point","Control",0.00523302390399619,0.0075496576351487,2,80.009995002
"LPC3116","LPC31",2016,"Long Point","Control",0.225249414054452,0.324966212619502,2,85.007496252
"LPC3216","LPC32",2016,"Long Point","Control",0,NA,1,89.95502249
"LPC3316","LPC33",2016,"Long Point","Control",0.786701237935909,0.716086326405158,3,89.955022489
"LPC3416","LPC34",2016,"Long Point","Control",0.0117616854770489,0.0107059474924571,3,69.96007984
"LPC3516","LPC35",2016,"Long Point","Control",0.00471727906502925,0.00680559511360702,2,90.004997502
"LPC3616","LPC36",2016,"Long Point","Control",0,NA,1,80
"LPC3716","LPC37",2016,"Long Point","Control",0,NA,1,90
"LPC3816","LPC38",2016,"Long Point","Control",0,NA,1,90
"LPC3916","LPC39",2016,"Long Point","Control",0.230075510404114,0.209423754656016,3,84.972541187
"LPC4016","LPC40",2016,"Long Point","Control",0.00523302395410664,0.00754965770744281,2,79.97002997
"LPT0516","LPT05",2016,"Long Point","Treatment",1.15230780101146,0.643115228802398,6,80.019980025
"LPT0616","LPT06",2016,"Long Point","Treatment",0.00471727906502925,0.00680559511360702,2,90.004997502
"LPT0716","LPT07",2016,"Long Point","Treatment",0.70291893077351,0.639824383928643,3,80
"LPT0816","LPT08",2016,"Long Point","Treatment",0.470686310646272,0.428437143386502,3,85.007496252
"LPT0916","LPT09",2016,"Long Point","Treatment",0.00471727906502925,0.00680559511360702,2,90.004997502
"LPT1016","LPT10",2016,"Long Point","Treatment",0.00942963074504714,0.00858321979674836,3,90.00999001
"LPT1116","LPT11",2016,"Long Point","Treatment",0.470686310646272,0.428437143386502,3,85.007496252
"LPT1216","LPT12",2016,"Long Point","Treatment",0.228547564320502,0.208032958194541,3,84.965034965
"LPT1316","LPT13",2016,"Long Point","Treatment",0.898595898112675,0.461786942500361,7,85.022466302
"LPT1416","LPT14",2016,"Long Point","Treatment",0.439276945602106,0.24516513133951,6,90.014977532
"LPT1516","LPT15",2016,"Long Point","Treatment",0.233371722911828,0.168342113664304,4,85.014985015
"LPT1616","LPT16",2016,"Long Point","Treatment",0.228547564262885,0.208032958142096,3,85.007496251
