Site,Treatment,YEAR,Depth,Water,LITTER,DEAD,CALCANAD,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCRAWE,CARCOMOS,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,CAREXSP,CERDEMER,CLAMARIS,CORSTOLO,DECVERTI,DULARUND,ELEPALUS,ELOCANAD,EleocharisSp,EQUFLUVI,Fern,FONTSP,FRAVIRGI,GALLABRA,HYDMORSU,HYPKALMI,IRIVERSA,JUNBALTI,JUNBREVI,JUNSP,LEEORYZO,LEMMINOR,LYSTHYRS,LYTHSP,LYTSALIC,MILLE,MYRSIBRI,MYRISP,NAJASP,Nitella,NUPVARIE,NYMODORA,PHRAUSTR,POLAMPHI,POLYGONSPP,PONCORD,POTGRAMI,POTOSP,RosaSP,SAGSPP,SAGLATIF,SCIACUTU,SCIFLUVI,SCIPUNGE,SCIVALID,SPAEURYE,SPARSP,SPIPOLYR,SOLOSP,SolidagoSP,THEPALUS,TYPSPP,TYPANGUS,TYPGLAUC,TYPLATIF,UTRINTER,UTRVULGA,UNK,Vetch sp,ZIZPALUS
UNM1a,Reference,2017,23,32.42606,0,24.56519,14.73912,0.00983,0.00983,2.45652,14.73912,0,0,0,0,0,0,0,0,0,0.245652,4.913039,0,0,0,0,0,0,0,0,0,0,0,0,4.913039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9826078,0,0,0,0,0,0,0,0,0,0
UNM1b,Reference,2017,29,62.1118,0,14.11632,7.058159,0,0,4.70544,4.70544,0,0,0,0,0,0,0,0,0,0,7.058159,0,0,0,0,0.00941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM1c,Reference,2017,30,49.74629,0,9.949259,14.92389,0.2487315,0,9.949259,7.461944,0,0,0,0,0,0,2.487315,0,0,0,0,0,0,0,0,0,0,0.00995,0,0,0,0,0,4.974629,0,0,0,0,0,0.2487315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM2a,Reference,2017,29,34.64567,0,34.64567,26.24672,0,0.2624672,2.624672,0.2624672,0,0,0,0,0,0,0,0,0,0.2624672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.049869,0,0,0,0,0,0,0,0,0,0
UNM2b,Reference,2017,39,66.33166,0,25.12563,2.512563,0,0,2.512563,2.512563,0,0,0,0,0,0,0,0,0,1.005025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM2c,Reference,2017,29,52.77045,0,10.55409,2.638522,0.2638523,0,2.638522,1.055409,0,0,0,0,0,0,0,0,0,1.055409,0,0,0,0,0,0,0,0,0,0,0,0,26.38522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.638522,0,0,0,0,0,0,0,0,0,0
UNM3a,Reference,2017,22,47.84689,0,7.177033,9.569378,0,0,0.9569378,0.2392344,0.2392344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.57895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.392345,0,0,0,0,0,0,0,0,0,0
UNM3b,Reference,2017,20.5,66.65993,0,2.524997,1.009999,0.0101,0,1.009999,0.2524997,1.009999,0,1.009999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2524997,0,0,10.09999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009999,0,0,0,0,0,0,0,0,0,0,15.14999,0,0,0,0,0,0,0,0,0,0
UNM3c,Reference,2017,21,62.70188,0,7.125214,14.25043,0,0,0.9500285,0.2375071,0.2375071,0,0,0,0,0,0,0,0,0,2.375071,0,0,0,0,0.0095,0,0,0,0,0,0,7.125214,0,0,0,0,0,0,2.375071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375071,0,0,0,0,0,0,0,0.2375071,0,0
UNM4a,Reference,2017,17,31.65164,0,31.65164,31.65164,0.00959,0,0,0,0,0,0,0,4.795703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2397852,0,0
UNM4b,Reference,2017,18,26.31302,0,26.31302,26.31302,0.0105252,0,0,0,0,0,0,0,5.262604,0,0,0,0,0,15.78781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNM4c,Reference,2017,16,33.67003,0,15.30456,51.0152,0.010203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
